Parameters tuning log for the hybrid recommender of predictions (second version). 
This are the recommenders that have been put inside: ['ItemKNNCFRecommender', 'SLIMElasticNetRecommender', 'ItemKNNCBFRecommender', 'RP3betaRecommender', 'UserKNNCFRecommender', 'P3alphaRecommender']
Iteration 49. Result MAP=0.028649  Configuration tried: [0.55, 0.6, 0.3, 0.2, 0.4, 0.2].
Iteration 50. Result MAP=0.039139  Configuration tried: [0.55, 0.45, 0.1, 0.1, 0.1, 0.5].
Iteration 51. Result MAP=0.039415  Configuration tried: [0.55, 0.3, 0.5, 0.3, 0.1, 0.5].
Iteration 52. Result MAP=0.030597  Configuration tried: [0.65, 0.4, 0.4, 0.4, 0.3, 0.2].
Iteration 53. Result MAP=0.031609  Configuration tried: [0.6, 0.4, 0.4, 0.4, 0.3, 0.5].
Iteration 54. Result MAP=0.032145  Configuration tried: [0.65, 0.3, 0.3, 0.2, 0.2, 0.2].
Iteration 55. Result MAP=0.029537  Configuration tried: [0.6, 0.6, 0.3, 0.3, 0.4, 0.4].
Iteration 56. Result MAP=0.026864  Configuration tried: [0.7, 0.5, 0.2, 0.1, 0.5, 0.1].
Iteration 57. Result MAP=0.027222  Configuration tried: [0.65, 0.5, 0.5, 0.3, 0.5, 0.2].
Iteration 58. Result MAP=0.026797  Configuration tried: [0.6, 0.3, 0.3, 0.2, 0.4, 0.2].
Iteration 59. Result MAP=0.038798  Configuration tried: [0.7, 0.3, 0.1, 0.3, 0.1, 0.3].
Iteration 60. Result MAP=0.027488  Configuration tried: [0.6, 0.45, 0.5, 0.2, 0.4, 0.1].
Iteration 61. Result MAP=0.033719  Configuration tried: [0.6, 0.3, 0.3, 0.5, 0.2, 0.2].
Iteration 62. Result MAP=0.034580  Configuration tried: [0.65, 0.45, 0.2, 0.5, 0.2, 0.1].
Iteration 63. Result MAP=0.029392  Configuration tried: [0.5, 0.5, 0.2, 0.5, 0.4, 0.4].
Iteration 64. Result MAP=0.026665  Configuration tried: [0.65, 0.3, 0.4, 0.3, 0.5, 0.4].
Iteration 65. Result MAP=0.034440  Configuration tried: [0.7, 0.3, 0.3, 0.3, 0.2, 0.5].
Iteration 66. Result MAP=0.028329  Configuration tried: [0.5, 0.6, 0.3, 0.2, 0.4, 0.1].
Iteration 67. Result MAP=0.039430  Configuration tried: [0.6, 0.6, 0.3, 0.1, 0.1, 0.2].
Iteration 68. Result MAP=0.031341  Configuration tried: [0.7, 0.5, 0.5, 0.4, 0.3, 0.2].
Iteration 69. Result MAP=0.030956  Configuration tried: [0.55, 0.6, 0.4, 0.1, 0.3, 0.4].
Iteration 70. Result MAP=0.031465  Configuration tried: [0.65, 0.4, 0.5, 0.5, 0.3, 0.3].
Iteration 71. Result MAP=0.031203  Configuration tried: [0.7, 0.3, 0.1, 0.5, 0.3, 0.4].
Iteration 72. Result MAP=0.032051  Configuration tried: [0.65, 0.45, 0.3, 0.4, 0.3, 0.5].
Iteration 73. Result MAP=0.027561  Configuration tried: [0.5, 0.4, 0.3, 0.5, 0.5, 0.4].
Iteration 74. Result MAP=0.031620  Configuration tried: [0.5, 0.45, 0.4, 0.5, 0.3, 0.4].
Iteration 75. Result MAP=0.028399  Configuration tried: [0.65, 0.5, 0.3, 0.2, 0.4, 0.3].
Iteration 76. Result MAP=0.027289  Configuration tried: [0.6, 0.45, 0.2, 0.4, 0.5, 0.3].
Iteration 77. Result MAP=0.035419  Configuration tried: [0.7, 0.5, 0.5, 0.2, 0.2, 0.5].
Iteration 78. Result MAP=0.040145  Configuration tried: [0.65, 0.5, 0.2, 0.2, 0.1, 0.5].
Iteration 79. Result MAP=0.030782  Configuration tried: [0.65, 0.3, 0.4, 0.1, 0.2, 0.1].
Iteration 80. Result MAP=0.027079  Configuration tried: [0.55, 0.45, 0.1, 0.2, 0.5, 0.5].
Iteration 81. Result MAP=0.034162  Configuration tried: [0.5, 0.3, 0.2, 0.4, 0.2, 0.5].
Iteration 82. Result MAP=0.027513  Configuration tried: [0.65, 0.5, 0.2, 0.2, 0.5, 0.4].
Iteration 83. Result MAP=0.028889  Configuration tried: [0.55, 0.6, 0.5, 0.4, 0.4, 0.1].
Iteration 84. Result MAP=0.030727  Configuration tried: [0.7, 0.6, 0.3, 0.1, 0.3, 0.2].
Iteration 85. Result MAP=0.029391  Configuration tried: [0.65, 0.4, 0.1, 0.5, 0.4, 0.4].
Iteration 86. Result MAP=0.039700  Configuration tried: [0.65, 0.45, 0.4, 0.1, 0.1, 0.5].
Iteration 87. Result MAP=0.041296  Configuration tried: [0.7, 0.6, 0.3, 0.5, 0.1, 0.4].


Found a better config at iteration 87, with MAP:0.041296
The new best config is: [0.7, 0.6, 0.3, 0.5, 0.1, 0.4]


Iteration 88. Result MAP=0.026155  Configuration tried: [0.5, 0.3, 0.2, 0.4, 0.5, 0.2].
Iteration 89. Result MAP=0.028485  Configuration tried: [0.7, 0.6, 0.4, 0.3, 0.5, 0.5].
Iteration 90. Result MAP=0.038844  Configuration tried: [0.6, 0.4, 0.2, 0.2, 0.1, 0.3].
Iteration 91. Result MAP=0.026618  Configuration tried: [0.55, 0.45, 0.5, 0.1, 0.5, 0.4].
Iteration 92. Result MAP=0.026915  Configuration tried: [0.5, 0.45, 0.2, 0.5, 0.5, 0.1].
Iteration 93. Result MAP=0.027883  Configuration tried: [0.65, 0.5, 0.1, 0.3, 0.5, 0.5].
Iteration 94. Result MAP=0.031824  Configuration tried: [0.55, 0.6, 0.1, 0.5, 0.3, 0.2].
Iteration 95. Result MAP=0.030191  Configuration tried: [0.6, 0.4, 0.2, 0.3, 0.3, 0.3].
Iteration 96. Result MAP=0.033465  Configuration tried: [0.6, 0.3, 0.1, 0.2, 0.2, 0.5].
Iteration 97. Result MAP=0.028983  Configuration tried: [0.6, 0.6, 0.1, 0.3, 0.4, 0.2].
Iteration 98. Result MAP=0.027427  Configuration tried: [0.7, 0.5, 0.3, 0.4, 0.5, 0.1].
Iteration 99. Result MAP=0.030545  Configuration tried: [0.65, 0.4, 0.3, 0.2, 0.3, 0.5].
Iteration 100. Result MAP=0.026713  Configuration tried: [0.6, 0.45, 0.2, 0.2, 0.5, 0.3].
Iteration 101. Result MAP=0.031320  Configuration tried: [0.55, 0.45, 0.5, 0.4, 0.3, 0.4].
Iteration 102. Result MAP=0.028156  Configuration tried: [0.5, 0.6, 0.2, 0.4, 0.5, 0.4].
Iteration 103. Result MAP=0.028315  Configuration tried: [0.5, 0.5, 0.1, 0.3, 0.4, 0.3].
Iteration 104. Result MAP=0.029123  Configuration tried: [0.6, 0.6, 0.2, 0.1, 0.4, 0.5].
Iteration 105. Result MAP=0.028800  Configuration tried: [0.5, 0.3, 0.4, 0.5, 0.4, 0.5].
Iteration 106. Result MAP=0.040855  Configuration tried: [0.7, 0.5, 0.5, 0.4, 0.1, 0.4].
Iteration 107. Result MAP=0.027353  Configuration tried: [0.7, 0.45, 0.2, 0.3, 0.5, 0.3].
Iteration 108. Result MAP=0.040920  Configuration tried: [0.65, 0.6, 0.3, 0.3, 0.1, 0.5].
Iteration 109. Result MAP=0.040405  Configuration tried: [0.7, 0.4, 0.3, 0.4, 0.1, 0.5].
Iteration 110. Result MAP=0.028810  Configuration tried: [0.6, 0.5, 0.3, 0.5, 0.4, 0.1].
Iteration 111. Result MAP=0.030476  Configuration tried: [0.6, 0.6, 0.3, 0.1, 0.3, 0.2].
Iteration 112. Result MAP=0.027950  Configuration tried: [0.55, 0.5, 0.5, 0.2, 0.4, 0.2].
Iteration 113. Result MAP=0.039647  Configuration tried: [0.5, 0.3, 0.4, 0.5, 0.1, 0.4].
Iteration 114. Result MAP=0.032405  Configuration tried: [0.5, 0.3, 0.1, 0.5, 0.2, 0.1].
