Parameters tuning log for the hybrid recommender of predictions (second version). 
This are the recommenders that have been put inside: ['ItemKNNCFRecommender', 'SLIMElasticNetRecommender', 'ItemKNNCBFRecommender', 'RP3betaRecommender', 'UserKNNCFRecommender', 'SLIM_BPR_Recommender']
Iteration 50. Result MAP=0.042635  Configuration tried: [0.5, 1, 0.1, 0.9, 0.4, 0.4].
Iteration 51. Result MAP=0.043608  Configuration tried: [1, 0.9, 0.1, 0.9, 0.3, 0.5].
Iteration 52. Result MAP=0.043914  Configuration tried: [1, 0.5, 0.3, 0.8, 0.15, 0.6].
Iteration 53. Result MAP=0.044126  Configuration tried: [0.8, 0.6, 0.1, 0.7, 0.1, 0.6].
Iteration 54. Result MAP=0.042291  Configuration tried: [0.9, 0.5, 0.1, 0.8, 0.4, 0.4].
Iteration 55. Result MAP=0.044236  Configuration tried: [1, 0.7, 0.5, 0.9, 0.15, 0.4].
Iteration 56. Result MAP=0.044317  Configuration tried: [0.9, 0.7, 0.3, 1, 0.1, 0.4].


Found a better config at iteration 56, with MAP:0.044317
The new best config is: [0.9, 0.7, 0.3, 1, 0.1, 0.4]


Iteration 57. Result MAP=0.042866  Configuration tried: [0.6, 0.6, 0.2, 0.7, 0.3, 0.6].
Iteration 58. Result MAP=0.043756  Configuration tried: [0.7, 1, 0.1, 1, 0.1, 0.5].
Iteration 59. Result MAP=0.044173  Configuration tried: [0.6, 0.7, 0.5, 1, 0.1, 0.6].
Iteration 60. Result MAP=0.043482  Configuration tried: [0.5, 0.7, 0.1, 0.7, 0.05, 0.3].
Iteration 61. Result MAP=0.042115  Configuration tried: [0.8, 0.5, 0.5, 0.7, 0.4, 0.7].
Iteration 62. Result MAP=0.044212  Configuration tried: [1, 0.5, 0.2, 0.7, 0.05, 0.6].
Iteration 63. Result MAP=0.044254  Configuration tried: [0.8, 0.8, 0.4, 1, 0.1, 0.3].
Iteration 64. Result MAP=0.043251  Configuration tried: [0.9, 0.9, 0.1, 1, 0.4, 0.6].
Iteration 65. Result MAP=0.043439  Configuration tried: [0.5, 0.9, 0.3, 1, 0.05, 0.7].
Iteration 66. Result MAP=0.043067  Configuration tried: [0.9, 0.9, 0.2, 0.6, 0.4, 0.5].
Iteration 67. Result MAP=0.044090  Configuration tried: [0.9, 0.7, 0.1, 0.7, 0.05, 0.5].
Iteration 68. Result MAP=0.043712  Configuration tried: [0.9, 1, 0.1, 0.5, 0.2, 0.5].
Iteration 69. Result MAP=0.043703  Configuration tried: [0.9, 0.5, 0.5, 0.8, 0.2, 0.6].
Iteration 70. Result MAP=0.044131  Configuration tried: [1, 0.9, 0.3, 0.7, 0.15, 0.3].
Iteration 71. Result MAP=0.044127  Configuration tried: [0.8, 0.6, 0.3, 0.7, 0.05, 0.5].
Iteration 72. Result MAP=0.043367  Configuration tried: [0.5, 0.9, 0.4, 0.8, 0.05, 0.7].
Iteration 73. Result MAP=0.043903  Configuration tried: [1, 0.8, 0.1, 0.8, 0.2, 0.7].
Iteration 74. Result MAP=0.043935  Configuration tried: [0.6, 0.9, 0.5, 0.8, 0.1, 0.5].
Iteration 75. Result MAP=0.042689  Configuration tried: [0.6, 0.9, 0.4, 0.5, 0.4, 0.4].
Iteration 76. Result MAP=0.044307  Configuration tried: [0.6, 0.5, 0.5, 1, 0.15, 0.3].
Iteration 77. Result MAP=0.043706  Configuration tried: [0.8, 0.6, 0.4, 0.7, 0.2, 0.4].
Iteration 78. Result MAP=0.043777  Configuration tried: [0.8, 0.8, 0.1, 0.9, 0.05, 0.6].
Iteration 79. Result MAP=0.044049  Configuration tried: [0.8, 0.6, 0.2, 0.5, 0.1, 0.4].
Iteration 80. Result MAP=0.043990  Configuration tried: [0.5, 0.8, 0.2, 0.9, 0.1, 0.5].
Iteration 81. Result MAP=0.042818  Configuration tried: [0.7, 0.8, 0.1, 0.9, 0.4, 0.4].
Iteration 82. Result MAP=0.043979  Configuration tried: [0.9, 0.9, 0.3, 0.7, 0.1, 0.3].
Iteration 83. Result MAP=0.042783  Configuration tried: [0.6, 1, 0.2, 0.8, 0.4, 0.3].
Iteration 84. Result MAP=0.043356  Configuration tried: [0.8, 1, 0.3, 0.7, 0.05, 0.6].
Iteration 85. Result MAP=0.043520  Configuration tried: [0.9, 0.7, 0.3, 1, 0.3, 0.7].
Iteration 86. Result MAP=0.043973  Configuration tried: [1, 1, 0.5, 0.9, 0.1, 0.5].
Iteration 87. Result MAP=0.044032  Configuration tried: [0.6, 0.6, 0.4, 0.6, 0.05, 0.7].
Iteration 88. Result MAP=0.044249  Configuration tried: [0.9, 0.5, 0.2, 0.5, 0.05, 0.6].
Iteration 89. Result MAP=0.044029  Configuration tried: [0.6, 0.7, 0.2, 0.5, 0.1, 0.4].
Iteration 90. Result MAP=0.044237  Configuration tried: [0.9, 0.5, 0.2, 0.8, 0.05, 0.4].
Iteration 91. Result MAP=0.042629  Configuration tried: [0.6, 0.5, 0.1, 0.7, 0.3, 0.5].
Iteration 92. Result MAP=0.043583  Configuration tried: [0.9, 0.5, 0.4, 0.5, 0.2, 0.7].
Iteration 93. Result MAP=0.042455  Configuration tried: [0.5, 0.7, 0.5, 0.9, 0.4, 0.4].
Iteration 94. Result MAP=0.043759  Configuration tried: [0.6, 1, 0.5, 1, 0.1, 0.3].
Iteration 95. Result MAP=0.044067  Configuration tried: [0.7, 0.7, 0.1, 0.5, 0.1, 0.3].
Iteration 96. Result MAP=0.043536  Configuration tried: [0.8, 0.5, 0.1, 0.8, 0.2, 0.5].
Iteration 97. Result MAP=0.042841  Configuration tried: [0.6, 0.5, 0.5, 0.8, 0.3, 0.7].
Iteration 98. Result MAP=0.043776  Configuration tried: [1, 0.5, 0.5, 0.8, 0.2, 0.4].
Iteration 99. Result MAP=0.043881  Configuration tried: [0.8, 0.6, 0.5, 0.8, 0.2, 0.4].
Iteration 100. Result MAP=0.043290  Configuration tried: [0.6, 0.6, 0.4, 0.9, 0.3, 0.6].
Iteration 101. Result MAP=0.042639  Configuration tried: [0.6, 0.7, 0.4, 1, 0.4, 0.4].
Iteration 102. Result MAP=0.042655  Configuration tried: [0.5, 0.8, 0.1, 1, 0.4, 0.4].
Iteration 103. Result MAP=0.044110  Configuration tried: [1, 0.7, 0.3, 0.8, 0.05, 0.5].
Iteration 104. Result MAP=0.042698  Configuration tried: [0.9, 0.7, 0.4, 0.6, 0.4, 0.5].
Iteration 105. Result MAP=0.043820  Configuration tried: [0.6, 0.8, 0.3, 0.5, 0.15, 0.4].
Iteration 106. Result MAP=0.044048  Configuration tried: [1, 0.9, 0.1, 1, 0.15, 0.6].
Iteration 107. Result MAP=0.042609  Configuration tried: [0.5, 1, 0.3, 0.7, 0.4, 0.3].
Iteration 108. Result MAP=0.042940  Configuration tried: [0.6, 1, 0.2, 0.5, 0.05, 0.7].
Iteration 109. Result MAP=0.043475  Configuration tried: [0.7, 1, 0.1, 0.8, 0.3, 0.6].
Iteration 110. Result MAP=0.042755  Configuration tried: [0.6, 0.5, 0.1, 0.8, 0.3, 0.4].
Iteration 111. Result MAP=0.043606  Configuration tried: [0.9, 0.5, 0.1, 0.6, 0.2, 0.6].
Iteration 112. Result MAP=0.044141  Configuration tried: [0.8, 0.9, 0.1, 0.8, 0.15, 0.6].
Iteration 113. Result MAP=0.044126  Configuration tried: [0.9, 0.5, 0.5, 0.9, 0.05, 0.4].
Iteration 114. Result MAP=0.043581  Configuration tried: [0.9, 0.5, 0.2, 0.8, 0.2, 0.7].
Iteration 115. Result MAP=0.042563  Configuration tried: [0.5, 0.6, 0.1, 0.5, 0.3, 0.5].
Iteration 116. Result MAP=0.042659  Configuration tried: [1, 0.6, 0.5, 0.6, 0.4, 0.6].
Iteration 117. Result MAP=0.041618  Configuration tried: [0.5, 0.5, 0.3, 0.6, 0.4, 0.5].
Iteration 118. Result MAP=0.043666  Configuration tried: [0.6, 0.9, 0.1, 0.7, 0.2, 0.6].
Iteration 119. Result MAP=0.043663  Configuration tried: [0.9, 1, 0.5, 0.5, 0.1, 0.3].
Iteration 120. Result MAP=0.041488  Configuration tried: [0.5, 0.5, 0.3, 0.5, 0.4, 0.4].
Iteration 121. Result MAP=0.044057  Configuration tried: [1, 0.7, 0.5, 0.6, 0.1, 0.6].
Iteration 122. Result MAP=0.044096  Configuration tried: [1, 0.9, 0.3, 0.8, 0.15, 0.5].
Iteration 123. Result MAP=0.043968  Configuration tried: [0.9, 0.7, 0.2, 0.5, 0.05, 0.3].
Iteration 124. Result MAP=0.043743  Configuration tried: [0.8, 0.9, 0.1, 0.5, 0.2, 0.6].
Iteration 125. Result MAP=0.043433  Configuration tried: [1, 0.6, 0.2, 0.8, 0.3, 0.3].
Iteration 126. Result MAP=0.043387  Configuration tried: [0.6, 0.7, 0.3, 1, 0.3, 0.4].
Iteration 127. Result MAP=0.042813  Configuration tried: [0.7, 0.8, 0.1, 1, 0.4, 0.7].
Iteration 128. Result MAP=0.044007  Configuration tried: [1, 1, 0.4, 1, 0.1, 0.4].
Iteration 129. Result MAP=0.044030  Configuration tried: [1, 0.9, 0.1, 0.6, 0.15, 0.4].
Iteration 130. Result MAP=0.043522  Configuration tried: [0.8, 0.7, 0.4, 0.7, 0.3, 0.4].
Iteration 131. Result MAP=0.043859  Configuration tried: [0.9, 0.8, 0.2, 0.8, 0.05, 0.3].
Iteration 132. Result MAP=0.044186  Configuration tried: [1, 0.8, 0.2, 0.5, 0.1, 0.6].
Iteration 133. Result MAP=0.042672  Configuration tried: [0.7, 0.7, 0.2, 1, 0.4, 0.6].
Iteration 134. Result MAP=0.043442  Configuration tried: [0.9, 1, 0.1, 0.5, 0.3, 0.3].
Iteration 135. Result MAP=0.043322  Configuration tried: [0.5, 0.8, 0.5, 0.8, 0.3, 0.6].
Iteration 136. Result MAP=0.043080  Configuration tried: [0.8, 1, 0.2, 0.6, 0.4, 0.7].
Iteration 137. Result MAP=0.043978  Configuration tried: [0.6, 0.6, 0.5, 0.8, 0.15, 0.7].
Iteration 138. Result MAP=0.043807  Configuration tried: [0.7, 1, 0.5, 0.9, 0.1, 0.4].
Iteration 139. Result MAP=0.043779  Configuration tried: [1, 0.8, 0.4, 0.5, 0.2, 0.5].
Iteration 140. Result MAP=0.043294  Configuration tried: [0.5, 0.9, 0.5, 0.7, 0.3, 0.6].
Iteration 141. Result MAP=0.043981  Configuration tried: [0.9, 0.9, 0.4, 0.7, 0.1, 0.5].
