Parameters tuning log for the hybrid recommender of predictions (second version). 
This are the recommenders that have been put inside: ['ItemKNNCFRecommender', 'SLIMElasticNetRecommender', 'ItemKNNCBFRecommender', 'RP3betaRecommender', 'UserKNNCFRecommender', 'SLIM_BPR_Recommender']
Iteration 236. Result MAP=0.043791  Configuration tried: [0.5, 0.7, 0.1, 1, 0.2, 0.5].
Iteration 237. Result MAP=0.043657  Configuration tried: [0.7, 0.6, 0.2, 0.9, 0.2, 0.4].
Iteration 238. Result MAP=0.044179  Configuration tried: [0.9, 0.5, 0.3, 0.9, 0.05, 0.3].
Iteration 239. Result MAP=0.044232  Configuration tried: [0.5, 0.7, 0.4, 1, 0.1, 0.3].
Iteration 240. Result MAP=0.044026  Configuration tried: [0.6, 0.6, 0.1, 0.6, 0.1, 0.5].
Iteration 241. Result MAP=0.044312  Configuration tried: [0.6, 0.5, 0.5, 0.9, 0.05, 0.5].
Iteration 242. Result MAP=0.044185  Configuration tried: [0.9, 0.5, 0.3, 0.7, 0.1, 0.6].
Iteration 243. Result MAP=0.042495  Configuration tried: [1, 0.6, 0.4, 0.5, 0.4, 0.4].
Iteration 244. Result MAP=0.043990  Configuration tried: [0.9, 0.9, 0.4, 0.9, 0.2, 0.6].
Iteration 245. Result MAP=0.042528  Configuration tried: [0.7, 0.6, 0.1, 1, 0.4, 0.5].
Iteration 246. Result MAP=0.043568  Configuration tried: [0.6, 0.9, 0.3, 1, 0.05, 0.7].
Iteration 247. Result MAP=0.043661  Configuration tried: [0.5, 1, 0.2, 1, 0.1, 0.7].
Iteration 248. Result MAP=0.044009  Configuration tried: [0.8, 0.8, 0.4, 1, 0.2, 0.5].
Iteration 249. Result MAP=0.042871  Configuration tried: [1, 0.8, 0.2, 0.5, 0.4, 0.6].
Iteration 250. Result MAP=0.043894  Configuration tried: [0.6, 0.8, 0.2, 1, 0.2, 0.4].
Iteration 251. Result MAP=0.043619  Configuration tried: [0.7, 0.5, 0.2, 1, 0.2, 0.6].
Iteration 252. Result MAP=0.042952  Configuration tried: [1, 0.7, 0.3, 0.8, 0.4, 0.7].
Iteration 253. Result MAP=0.044217  Configuration tried: [1, 0.6, 0.2, 1, 0.1, 0.7].
Iteration 254. Result MAP=0.041867  Configuration tried: [0.5, 0.6, 0.3, 0.6, 0.4, 0.6].
Iteration 255. Result MAP=0.042547  Configuration tried: [0.6, 0.8, 0.1, 0.7, 0.4, 0.5].
Iteration 256. Result MAP=0.043814  Configuration tried: [0.8, 1, 0.4, 0.7, 0.1, 0.3].
Iteration 257. Result MAP=0.043836  Configuration tried: [0.7, 0.9, 0.3, 0.9, 0.2, 0.6].
Iteration 258. Result MAP=0.044186  Configuration tried: [0.5, 0.7, 0.3, 0.9, 0.1, 0.4].
Iteration 259. Result MAP=0.042648  Configuration tried: [0.5, 0.9, 0.4, 0.9, 0.4, 0.3].
Iteration 260. Result MAP=0.043049  Configuration tried: [1, 0.5, 0.3, 0.5, 0.3, 0.3].
Iteration 261. Result MAP=0.043388  Configuration tried: [1, 0.6, 0.1, 0.9, 0.3, 0.6].
Iteration 262. Result MAP=0.042008  Configuration tried: [1, 0.5, 0.3, 0.5, 0.4, 0.7].
Iteration 263. Result MAP=0.043006  Configuration tried: [0.7, 1, 0.5, 0.6, 0.4, 0.4].
Iteration 264. Result MAP=0.043643  Configuration tried: [0.6, 1, 0.4, 0.5, 0.2, 0.4].
Iteration 265. Result MAP=0.043945  Configuration tried: [0.8, 0.7, 0.2, 0.5, 0.05, 0.4].
Iteration 266. Result MAP=0.043870  Configuration tried: [0.7, 0.9, 0.3, 0.6, 0.1, 0.6].
Iteration 267. Result MAP=0.043832  Configuration tried: [0.5, 0.7, 0.3, 0.6, 0.15, 0.3].
Iteration 268. Result MAP=0.043877  Configuration tried: [0.5, 1, 0.1, 0.9, 0.15, 0.4].
Iteration 269. Result MAP=0.043863  Configuration tried: [0.9, 0.8, 0.3, 0.7, 0.2, 0.5].
Iteration 270. Result MAP=0.044014  Configuration tried: [0.5, 0.6, 0.5, 0.7, 0.05, 0.7].
Iteration 271. Result MAP=0.043032  Configuration tried: [0.8, 0.5, 0.1, 0.9, 0.3, 0.4].
Iteration 272. Result MAP=0.044060  Configuration tried: [0.9, 1, 0.5, 0.8, 0.15, 0.7].
Iteration 273. Result MAP=0.044114  Configuration tried: [0.6, 0.6, 0.5, 1, 0.1, 0.6].
Iteration 274. Result MAP=0.044119  Configuration tried: [0.9, 0.5, 0.4, 1, 0.15, 0.5].
Iteration 275. Result MAP=0.044100  Configuration tried: [0.9, 0.8, 0.5, 0.6, 0.15, 0.5].
Iteration 276. Result MAP=0.042661  Configuration tried: [0.6, 0.8, 0.3, 0.8, 0.4, 0.7].
Iteration 277. Result MAP=0.043034  Configuration tried: [0.7, 0.5, 0.2, 0.9, 0.3, 0.5].
Iteration 278. Result MAP=0.043764  Configuration tried: [0.6, 0.8, 0.3, 1, 0.05, 0.7].
Iteration 279. Result MAP=0.043512  Configuration tried: [0.9, 1, 0.5, 0.7, 0.05, 0.5].
Iteration 280. Result MAP=0.044114  Configuration tried: [0.5, 0.5, 0.4, 0.5, 0.05, 0.4].
Iteration 281. Result MAP=0.044183  Configuration tried: [0.9, 0.6, 0.2, 0.9, 0.15, 0.4].
Iteration 282. Result MAP=0.043778  Configuration tried: [0.7, 1, 0.1, 0.7, 0.2, 0.7].
Iteration 283. Result MAP=0.043431  Configuration tried: [0.9, 1, 0.2, 0.8, 0.05, 0.3].
Iteration 284. Result MAP=0.043937  Configuration tried: [0.7, 0.6, 0.2, 0.8, 0.15, 0.6].
Iteration 285. Result MAP=0.043353  Configuration tried: [0.7, 0.9, 0.3, 0.8, 0.05, 0.4].
Iteration 286. Result MAP=0.043872  Configuration tried: [0.7, 0.8, 0.2, 1, 0.2, 0.6].
Iteration 287. Result MAP=0.042631  Configuration tried: [0.8, 0.6, 0.5, 1, 0.4, 0.5].
Iteration 288. Result MAP=0.043296  Configuration tried: [0.8, 0.6, 0.3, 0.8, 0.3, 0.3].
Iteration 289. Result MAP=0.044090  Configuration tried: [0.8, 0.9, 0.4, 0.9, 0.15, 0.7].
Iteration 290. Result MAP=0.043745  Configuration tried: [0.6, 0.9, 0.1, 0.7, 0.2, 0.3].
Iteration 291. Result MAP=0.043918  Configuration tried: [0.9, 0.6, 0.5, 0.5, 0.15, 0.5].
Iteration 292. Result MAP=0.043223  Configuration tried: [0.9, 0.8, 0.5, 1, 0.4, 0.7].
Iteration 293. Result MAP=0.044189  Configuration tried: [0.9, 0.5, 0.3, 0.6, 0.05, 0.3].
Iteration 294. Result MAP=0.043652  Configuration tried: [0.8, 0.9, 0.2, 0.8, 0.05, 0.5].
Iteration 295. Result MAP=0.044202  Configuration tried: [0.6, 0.5, 0.4, 0.6, 0.05, 0.6].
Iteration 296. Result MAP=0.044311  Configuration tried: [0.5, 0.6, 0.3, 0.9, 0.1, 0.3].
Iteration 297. Result MAP=0.043259  Configuration tried: [0.5, 1, 0.5, 0.8, 0.05, 0.7].
Iteration 298. Result MAP=0.043691  Configuration tried: [0.6, 0.9, 0.2, 0.5, 0.1, 0.5].
Iteration 299. Result MAP=0.043789  Configuration tried: [0.6, 0.5, 0.1, 0.7, 0.15, 0.4].


FINAL RESULT
Best config is [0.9, 0.7, 0.3, 1, 0.1, 0.4] with an incredible MAP of 0.044317
