Parameters tuning log for the hybrid recommender of predictions (second version). 
This are the recommenders that have been put inside: ['ItemKNNCFRecommender', 'SLIMElasticNetRecommender', 'ItemKNNCBFRecommender', 'RP3betaRecommender', 'UserKNNCFRecommender', 'SLIM_BPR_Recommender']
Iteration 24. Result MAP=0.043178  Configuration tried: [0.5, 0.8, 0.1, 0.5, 0.05, 0.5].
Iteration 25. Result MAP=0.044211  Configuration tried: [1, 0.7, 0.4, 0.9, 0.15, 0.5].
Iteration 26. Result MAP=0.043125  Configuration tried: [0.8, 0.6, 0.3, 0.5, 0.3, 0.7].
Iteration 27. Result MAP=0.043937  Configuration tried: [0.5, 0.9, 0.1, 0.9, 0.15, 0.6].
Iteration 28. Result MAP=0.043181  Configuration tried: [0.8, 1, 0.2, 0.9, 0.4, 0.7].
Iteration 29. Result MAP=0.043620  Configuration tried: [0.9, 0.9, 0.3, 0.7, 0.05, 0.4].
Iteration 30. Result MAP=0.042854  Configuration tried: [0.8, 0.7, 0.5, 0.9, 0.4, 0.4].
Iteration 31. Result MAP=0.043052  Configuration tried: [0.5, 0.8, 0.3, 0.5, 0.3, 0.4].
Iteration 32. Result MAP=0.043896  Configuration tried: [0.5, 0.7, 0.5, 1, 0.2, 0.3].
Iteration 33. Result MAP=0.043436  Configuration tried: [0.9, 0.7, 0.3, 0.6, 0.3, 0.5].
Iteration 34. Result MAP=0.043952  Configuration tried: [0.5, 0.8, 0.1, 0.6, 0.1, 0.6].
Iteration 35. Result MAP=0.043471  Configuration tried: [0.7, 0.9, 0.5, 0.6, 0.3, 0.3].
Iteration 36. Result MAP=0.044152  Configuration tried: [0.9, 0.6, 0.2, 0.8, 0.05, 0.3].
Iteration 37. Result MAP=0.043883  Configuration tried: [0.8, 1, 0.1, 1, 0.1, 0.6].
Iteration 38. Result MAP=0.044082  Configuration tried: [0.9, 0.8, 0.2, 0.9, 0.15, 0.7].
Iteration 39. Result MAP=0.044076  Configuration tried: [0.8, 0.7, 0.3, 0.7, 0.15, 0.7].
Iteration 40. Result MAP=0.044050  Configuration tried: [0.6, 0.6, 0.2, 0.8, 0.1, 0.5].
Iteration 41. Result MAP=0.043704  Configuration tried: [0.5, 0.8, 0.3, 0.7, 0.2, 0.4].
Iteration 42. Result MAP=0.042854  Configuration tried: [0.5, 0.6, 0.4, 0.7, 0.3, 0.5].
Iteration 43. Result MAP=0.042419  Configuration tried: [0.8, 0.7, 0.1, 0.5, 0.4, 0.3].
Iteration 44. Result MAP=0.043333  Configuration tried: [0.5, 0.9, 0.1, 1, 0.3, 0.4].
Iteration 45. Result MAP=0.043181  Configuration tried: [0.5, 0.7, 0.4, 0.8, 0.3, 0.4].
Iteration 46. Result MAP=0.043128  Configuration tried: [0.7, 1, 0.3, 0.7, 0.05, 0.3].
Iteration 47. Result MAP=0.044115  Configuration tried: [0.8, 0.8, 0.4, 0.6, 0.1, 0.6].
Iteration 48. Result MAP=0.042135  Configuration tried: [0.6, 0.7, 0.3, 0.5, 0.4, 0.4].
Iteration 49. Result MAP=0.043759  Configuration tried: [0.9, 0.7, 0.4, 0.6, 0.2, 0.5].
Iteration 50. Result MAP=0.043303  Configuration tried: [0.9, 1, 0.3, 0.8, 0.4, 0.6].
Iteration 51. Result MAP=0.043342  Configuration tried: [0.5, 0.8, 0.2, 0.9, 0.05, 0.3].
Iteration 52. Result MAP=0.044115  Configuration tried: [1, 0.5, 0.5, 0.6, 0.05, 0.6].
Iteration 53. Result MAP=0.044077  Configuration tried: [0.9, 0.7, 0.4, 0.6, 0.1, 0.5].
Iteration 54. Result MAP=0.043922  Configuration tried: [0.8, 0.9, 0.5, 0.8, 0.2, 0.5].
Iteration 55. Result MAP=0.044227  Configuration tried: [0.8, 0.7, 0.1, 0.9, 0.1, 0.6].
Iteration 56. Result MAP=0.043841  Configuration tried: [0.5, 0.9, 0.4, 0.9, 0.2, 0.3].
Iteration 57. Result MAP=0.043136  Configuration tried: [0.5, 0.6, 0.2, 1, 0.3, 0.6].
Iteration 58. Result MAP=0.043940  Configuration tried: [0.9, 0.9, 0.1, 0.9, 0.2, 0.5].
Iteration 59. Result MAP=0.043418  Configuration tried: [0.5, 0.8, 0.4, 0.9, 0.05, 0.4].
Iteration 60. Result MAP=0.044023  Configuration tried: [0.5, 0.6, 0.2, 1, 0.15, 0.4].
Iteration 61. Result MAP=0.043657  Configuration tried: [0.5, 0.8, 0.2, 0.5, 0.2, 0.7].
Iteration 62. Result MAP=0.043813  Configuration tried: [0.6, 0.6, 0.3, 0.9, 0.2, 0.6].
Iteration 63. Result MAP=0.043357  Configuration tried: [0.6, 0.7, 0.4, 0.9, 0.3, 0.4].
Iteration 64. Result MAP=0.044030  Configuration tried: [1, 1, 0.4, 0.9, 0.1, 0.6].
Iteration 65. Result MAP=0.043277  Configuration tried: [0.6, 1, 0.5, 0.5, 0.3, 0.5].
Iteration 66. Result MAP=0.044048  Configuration tried: [1, 0.9, 0.3, 0.9, 0.2, 0.6].
Iteration 67. Result MAP=0.042302  Configuration tried: [1, 0.5, 0.4, 0.7, 0.4, 0.5].
Iteration 68. Result MAP=0.043532  Configuration tried: [0.9, 0.7, 0.3, 0.9, 0.3, 0.7].
Iteration 69. Result MAP=0.044050  Configuration tried: [0.5, 0.9, 0.5, 0.9, 0.15, 0.3].
Iteration 70. Result MAP=0.043877  Configuration tried: [0.7, 0.7, 0.5, 0.6, 0.15, 0.7].
Iteration 71. Result MAP=0.044093  Configuration tried: [0.9, 0.9, 0.2, 0.7, 0.1, 0.7].
Iteration 72. Result MAP=0.043203  Configuration tried: [0.5, 0.8, 0.2, 0.6, 0.3, 0.7].
Iteration 73. Result MAP=0.043863  Configuration tried: [0.7, 0.9, 0.4, 0.9, 0.2, 0.5].
Iteration 74. Result MAP=0.043909  Configuration tried: [1, 0.8, 0.2, 0.8, 0.2, 0.3].
Iteration 75. Result MAP=0.044164  Configuration tried: [0.9, 0.6, 0.4, 0.8, 0.05, 0.7].
Iteration 76. Result MAP=0.043708  Configuration tried: [1, 1, 0.2, 0.9, 0.05, 0.6].
Iteration 77. Result MAP=0.043735  Configuration tried: [0.6, 0.7, 0.1, 0.7, 0.2, 0.3].
Iteration 78. Result MAP=0.043739  Configuration tried: [0.7, 1, 0.2, 0.8, 0.1, 0.4].
Iteration 79. Result MAP=0.042740  Configuration tried: [0.6, 0.8, 0.3, 1, 0.4, 0.3].
Iteration 80. Result MAP=0.043983  Configuration tried: [1, 0.9, 0.1, 0.7, 0.15, 0.6].
Iteration 81. Result MAP=0.042787  Configuration tried: [0.7, 0.7, 0.5, 1, 0.4, 0.5].
Iteration 82. Result MAP=0.044299  Configuration tried: [1, 0.7, 0.2, 0.8, 0.1, 0.6].


Found a better config at iteration 82, with MAP:0.044299
The new best config is: [1, 0.7, 0.2, 0.8, 0.1, 0.6]


Iteration 83. Result MAP=0.042898  Configuration tried: [0.7, 0.9, 0.5, 0.5, 0.4, 0.3].
Iteration 84. Result MAP=0.043986  Configuration tried: [1, 0.7, 0.4, 0.7, 0.05, 0.3].
Iteration 85. Result MAP=0.043941  Configuration tried: [0.5, 0.9, 0.5, 0.9, 0.2, 0.4].
Iteration 86. Result MAP=0.042504  Configuration tried: [0.7, 0.8, 0.2, 0.5, 0.4, 0.5].
Iteration 87. Result MAP=0.043813  Configuration tried: [0.9, 0.8, 0.3, 0.8, 0.05, 0.3].
Iteration 88. Result MAP=0.043046  Configuration tried: [0.8, 1, 0.5, 0.5, 0.4, 0.7].
Iteration 89. Result MAP=0.043171  Configuration tried: [1, 0.8, 0.2, 1, 0.4, 0.4].
Iteration 90. Result MAP=0.043299  Configuration tried: [0.6, 0.6, 0.3, 1, 0.3, 0.3].
Iteration 91. Result MAP=0.044145  Configuration tried: [1, 0.6, 0.5, 0.7, 0.15, 0.4].
Iteration 92. Result MAP=0.043478  Configuration tried: [1, 0.6, 0.3, 0.8, 0.3, 0.3].
Iteration 93. Result MAP=0.042589  Configuration tried: [0.6, 0.9, 0.2, 0.6, 0.4, 0.4].
Iteration 94. Result MAP=0.044152  Configuration tried: [0.6, 0.6, 0.5, 1, 0.15, 0.6].
Iteration 95. Result MAP=0.044198  Configuration tried: [0.5, 0.7, 0.3, 1, 0.1, 0.4].
Iteration 96. Result MAP=0.044034  Configuration tried: [0.9, 1, 0.3, 0.9, 0.2, 0.3].
Iteration 97. Result MAP=0.044016  Configuration tried: [0.9, 0.7, 0.5, 0.9, 0.05, 0.7].
Iteration 98. Result MAP=0.043943  Configuration tried: [0.8, 0.6, 0.4, 0.6, 0.15, 0.6].
Iteration 99. Result MAP=0.043241  Configuration tried: [0.5, 1, 0.5, 0.5, 0.3, 0.5].
Iteration 100. Result MAP=0.043305  Configuration tried: [0.5, 0.8, 0.3, 0.7, 0.3, 0.6].
Iteration 101. Result MAP=0.043502  Configuration tried: [0.9, 0.7, 0.1, 1, 0.3, 0.6].
Iteration 102. Result MAP=0.043978  Configuration tried: [0.8, 0.8, 0.3, 0.6, 0.15, 0.7].
Iteration 103. Result MAP=0.043872  Configuration tried: [0.9, 0.6, 0.1, 0.7, 0.15, 0.6].
Iteration 104. Result MAP=0.044118  Configuration tried: [0.9, 0.7, 0.5, 0.8, 0.1, 0.3].
Iteration 105. Result MAP=0.043291  Configuration tried: [0.5, 0.9, 0.1, 0.8, 0.05, 0.7].
Iteration 106. Result MAP=0.042756  Configuration tried: [0.5, 0.9, 0.4, 0.9, 0.4, 0.5].
Iteration 107. Result MAP=0.043281  Configuration tried: [0.7, 0.7, 0.5, 0.5, 0.3, 0.4].
Iteration 108. Result MAP=0.043868  Configuration tried: [0.5, 1, 0.5, 0.8, 0.15, 0.4].
Iteration 109. Result MAP=0.043676  Configuration tried: [0.9, 1, 0.5, 1, 0.05, 0.6].
Iteration 110. Result MAP=0.043858  Configuration tried: [0.5, 0.7, 0.4, 0.9, 0.2, 0.3].
Iteration 111. Result MAP=0.042673  Configuration tried: [0.5, 0.9, 0.4, 0.7, 0.4, 0.6].
Iteration 112. Result MAP=0.043492  Configuration tried: [1, 0.5, 0.2, 0.5, 0.2, 0.6].
Iteration 113. Result MAP=0.044163  Configuration tried: [0.8, 0.7, 0.2, 0.7, 0.1, 0.4].
Iteration 114. Result MAP=0.043264  Configuration tried: [0.7, 0.9, 0.1, 0.5, 0.3, 0.6].
Iteration 115. Result MAP=0.044119  Configuration tried: [0.9, 0.6, 0.3, 0.9, 0.05, 0.6].
Iteration 116. Result MAP=0.043035  Configuration tried: [1, 0.8, 0.2, 0.7, 0.4, 0.5].
Iteration 117. Result MAP=0.042944  Configuration tried: [0.8, 0.9, 0.2, 0.8, 0.4, 0.3].
Iteration 118. Result MAP=0.043849  Configuration tried: [1, 0.6, 0.1, 0.7, 0.15, 0.7].
Iteration 119. Result MAP=0.043812  Configuration tried: [0.8, 0.6, 0.2, 0.5, 0.15, 0.6].
Iteration 120. Result MAP=0.043876  Configuration tried: [0.8, 0.7, 0.5, 0.6, 0.2, 0.4].
Iteration 121. Result MAP=0.041954  Configuration tried: [0.9, 0.5, 0.4, 0.5, 0.4, 0.7].
Iteration 122. Result MAP=0.043843  Configuration tried: [0.7, 0.7, 0.4, 0.5, 0.15, 0.6].
Iteration 123. Result MAP=0.043301  Configuration tried: [0.6, 1, 0.3, 0.9, 0.05, 0.6].
Iteration 124. Result MAP=0.043898  Configuration tried: [0.9, 0.8, 0.5, 0.9, 0.05, 0.7].
Iteration 125. Result MAP=0.043259  Configuration tried: [0.5, 0.9, 0.5, 0.5, 0.3, 0.7].
Iteration 126. Result MAP=0.043462  Configuration tried: [0.7, 0.8, 0.4, 0.8, 0.3, 0.3].
Iteration 127. Result MAP=0.042942  Configuration tried: [0.5, 1, 0.4, 0.8, 0.05, 0.3].
Iteration 128. Result MAP=0.043407  Configuration tried: [0.8, 0.7, 0.2, 0.6, 0.3, 0.4].
Iteration 129. Result MAP=0.044126  Configuration tried: [1, 0.5, 0.1, 0.7, 0.1, 0.7].
Iteration 130. Result MAP=0.043222  Configuration tried: [0.7, 1, 0.4, 1, 0.4, 0.4].
Iteration 131. Result MAP=0.043982  Configuration tried: [0.6, 0.6, 0.3, 0.7, 0.15, 0.4].
Iteration 132. Result MAP=0.043396  Configuration tried: [0.6, 1, 0.3, 0.7, 0.3, 0.5].
Iteration 133. Result MAP=0.043641  Configuration tried: [0.6, 0.7, 0.1, 0.8, 0.05, 0.5].
Iteration 134. Result MAP=0.043216  Configuration tried: [0.8, 1, 0.2, 0.5, 0.05, 0.6].
Iteration 135. Result MAP=0.043545  Configuration tried: [0.5, 0.5, 0.5, 0.5, 0.2, 0.4].
Iteration 136. Result MAP=0.044260  Configuration tried: [0.8, 0.8, 0.3, 1, 0.1, 0.7].
Iteration 137. Result MAP=0.043932  Configuration tried: [1, 0.8, 0.1, 0.5, 0.15, 0.3].
Iteration 138. Result MAP=0.044195  Configuration tried: [0.5, 0.7, 0.5, 0.7, 0.1, 0.4].
Iteration 139. Result MAP=0.044154  Configuration tried: [0.9, 0.5, 0.4, 0.7, 0.05, 0.3].
Iteration 140. Result MAP=0.043286  Configuration tried: [0.5, 0.9, 0.4, 0.6, 0.3, 0.7].
Iteration 141. Result MAP=0.043306  Configuration tried: [0.5, 0.7, 0.5, 0.9, 0.3, 0.7].
Iteration 142. Result MAP=0.042761  Configuration tried: [1, 0.7, 0.1, 0.5, 0.4, 0.3].
Iteration 143. Result MAP=0.042852  Configuration tried: [0.7, 0.8, 0.3, 0.9, 0.4, 0.4].
Iteration 144. Result MAP=0.043265  Configuration tried: [0.6, 0.8, 0.5, 0.5, 0.3, 0.6].
Iteration 145. Result MAP=0.043245  Configuration tried: [0.5, 1, 0.2, 0.7, 0.3, 0.3].
Iteration 146. Result MAP=0.044026  Configuration tried: [1, 0.8, 0.2, 0.6, 0.15, 0.5].
Iteration 147. Result MAP=0.043739  Configuration tried: [0.6, 0.9, 0.3, 0.8, 0.2, 0.3].
Iteration 148. Result MAP=0.043353  Configuration tried: [0.7, 0.9, 0.2, 0.8, 0.05, 0.3].
Iteration 149. Result MAP=0.042372  Configuration tried: [0.6, 0.8, 0.2, 0.5, 0.4, 0.5].
Iteration 150. Result MAP=0.044146  Configuration tried: [0.8, 0.9, 0.2, 0.9, 0.1, 0.6].
Iteration 151. Result MAP=0.044118  Configuration tried: [0.6, 0.6, 0.2, 0.5, 0.1, 0.3].
Iteration 152. Result MAP=0.043594  Configuration tried: [0.5, 1, 0.4, 0.6, 0.1, 0.5].
Iteration 153. Result MAP=0.044172  Configuration tried: [0.8, 0.8, 0.2, 0.9, 0.1, 0.4].
Iteration 154. Result MAP=0.042586  Configuration tried: [0.6, 0.7, 0.3, 1, 0.4, 0.4].
Iteration 155. Result MAP=0.044013  Configuration tried: [0.6, 1, 0.4, 0.9, 0.15, 0.6].
Iteration 156. Result MAP=0.043165  Configuration tried: [0.8, 1, 0.3, 0.8, 0.4, 0.6].
Iteration 157. Result MAP=0.043703  Configuration tried: [0.9, 1, 0.3, 1, 0.3, 0.3].
Iteration 158. Result MAP=0.043687  Configuration tried: [0.5, 0.9, 0.5, 0.5, 0.15, 0.6].
Iteration 159. Result MAP=0.044013  Configuration tried: [0.6, 0.8, 0.3, 0.8, 0.15, 0.4].
Iteration 160. Result MAP=0.042988  Configuration tried: [1, 0.5, 0.4, 0.5, 0.3, 0.6].
Iteration 161. Result MAP=0.043991  Configuration tried: [0.8, 0.9, 0.2, 1, 0.1, 0.3].
Iteration 162. Result MAP=0.044208  Configuration tried: [0.9, 0.8, 0.5, 0.9, 0.1, 0.7].
Iteration 163. Result MAP=0.044045  Configuration tried: [0.6, 0.7, 0.2, 0.6, 0.1, 0.5].
Iteration 164. Result MAP=0.044132  Configuration tried: [0.7, 0.7, 0.3, 0.8, 0.15, 0.3].
Iteration 165. Result MAP=0.043087  Configuration tried: [0.7, 1, 0.2, 0.8, 0.4, 0.4].
Iteration 166. Result MAP=0.043918  Configuration tried: [0.6, 0.7, 0.2, 1, 0.2, 0.3].
Iteration 167. Result MAP=0.043481  Configuration tried: [0.8, 1, 0.5, 0.7, 0.3, 0.6].
Iteration 168. Result MAP=0.043939  Configuration tried: [0.7, 0.7, 0.3, 0.6, 0.05, 0.7].
Iteration 169. Result MAP=0.044166  Configuration tried: [0.8, 0.6, 0.4, 0.9, 0.05, 0.3].
Iteration 170. Result MAP=0.044126  Configuration tried: [1, 0.8, 0.5, 0.7, 0.15, 0.6].
Iteration 171. Result MAP=0.044066  Configuration tried: [0.9, 0.7, 0.5, 0.8, 0.15, 0.6].
Iteration 172. Result MAP=0.044116  Configuration tried: [0.8, 0.8, 0.2, 0.7, 0.15, 0.6].
Iteration 173. Result MAP=0.043949  Configuration tried: [0.9, 0.5, 0.2, 0.7, 0.15, 0.3].
Iteration 174. Result MAP=0.044057  Configuration tried: [0.6, 0.8, 0.5, 0.8, 0.1, 0.4].
Iteration 175. Result MAP=0.044014  Configuration tried: [1, 0.9, 0.1, 0.6, 0.1, 0.6].
Iteration 176. Result MAP=0.042440  Configuration tried: [1, 0.5, 0.3, 0.8, 0.4, 0.5].
Iteration 177. Result MAP=0.042698  Configuration tried: [0.5, 0.5, 0.2, 0.8, 0.3, 0.6].
Iteration 178. Result MAP=0.043490  Configuration tried: [0.7, 0.7, 0.5, 0.8, 0.3, 0.6].
Iteration 179. Result MAP=0.043531  Configuration tried: [0.8, 0.9, 0.4, 0.6, 0.05, 0.6].
Iteration 180. Result MAP=0.043284  Configuration tried: [0.8, 1, 0.2, 0.6, 0.05, 0.5].
Iteration 181. Result MAP=0.043807  Configuration tried: [1, 0.5, 0.5, 0.9, 0.2, 0.4].
Iteration 182. Result MAP=0.044250  Configuration tried: [1, 0.7, 0.5, 1, 0.15, 0.4].
Iteration 183. Result MAP=0.043026  Configuration tried: [0.8, 0.9, 0.1, 1, 0.4, 0.3].
Iteration 184. Result MAP=0.043370  Configuration tried: [1, 0.6, 0.5, 0.8, 0.3, 0.7].
Iteration 185. Result MAP=0.044169  Configuration tried: [0.8, 0.6, 0.1, 0.6, 0.1, 0.6].
Iteration 186. Result MAP=0.041878  Configuration tried: [0.5, 0.6, 0.2, 0.7, 0.4, 0.4].
Iteration 187. Result MAP=0.043563  Configuration tried: [1, 0.7, 0.4, 0.9, 0.3, 0.7].
Iteration 188. Result MAP=0.044073  Configuration tried: [0.5, 0.5, 0.5, 0.8, 0.1, 0.7].
Iteration 189. Result MAP=0.043886  Configuration tried: [0.8, 0.9, 0.5, 0.5, 0.1, 0.7].
Iteration 190. Result MAP=0.043354  Configuration tried: [0.8, 1, 0.4, 0.9, 0.05, 0.3].
Iteration 191. Result MAP=0.043930  Configuration tried: [0.5, 0.6, 0.3, 0.9, 0.05, 0.3].
Iteration 192. Result MAP=0.043097  Configuration tried: [0.8, 0.5, 0.3, 1, 0.3, 0.7].
Iteration 193. Result MAP=0.042909  Configuration tried: [1, 0.7, 0.4, 0.7, 0.4, 0.3].
Iteration 194. Result MAP=0.043257  Configuration tried: [1, 0.9, 0.3, 0.7, 0.4, 0.5].
Iteration 195. Result MAP=0.043573  Configuration tried: [0.7, 0.6, 0.4, 0.5, 0.2, 0.5].
Iteration 196. Result MAP=0.044103  Configuration tried: [0.9, 0.7, 0.1, 0.7, 0.05, 0.6].
Iteration 197. Result MAP=0.043249  Configuration tried: [0.7, 1, 0.5, 0.5, 0.05, 0.7].
Iteration 198. Result MAP=0.043586  Configuration tried: [0.9, 0.7, 0.1, 0.9, 0.3, 0.5].
Iteration 199. Result MAP=0.044256  Configuration tried: [0.9, 0.6, 0.4, 1, 0.1, 0.6].
Iteration 200. Result MAP=0.043202  Configuration tried: [0.9, 0.9, 0.5, 0.7, 0.4, 0.3].
Iteration 201. Result MAP=0.043409  Configuration tried: [0.6, 0.9, 0.5, 0.8, 0.3, 0.4].
Iteration 202. Result MAP=0.042983  Configuration tried: [0.9, 0.8, 0.1, 0.9, 0.4, 0.7].
Iteration 203. Result MAP=0.043331  Configuration tried: [1, 1, 0.5, 0.5, 0.4, 0.7].
Iteration 204. Result MAP=0.043847  Configuration tried: [0.7, 0.5, 0.3, 0.6, 0.15, 0.5].
Iteration 205. Result MAP=0.043848  Configuration tried: [1, 0.7, 0.3, 0.6, 0.2, 0.5].
Iteration 206. Result MAP=0.043742  Configuration tried: [0.9, 0.8, 0.4, 0.8, 0.05, 0.3].
Iteration 207. Result MAP=0.042485  Configuration tried: [0.6, 0.8, 0.5, 0.5, 0.4, 0.7].
Iteration 208. Result MAP=0.043864  Configuration tried: [0.5, 0.6, 0.2, 0.7, 0.15, 0.4].
Iteration 209. Result MAP=0.043757  Configuration tried: [0.8, 0.9, 0.4, 0.6, 0.2, 0.7].
Iteration 210. Result MAP=0.042331  Configuration tried: [0.8, 0.7, 0.1, 0.5, 0.4, 0.7].
Iteration 211. Result MAP=0.043198  Configuration tried: [0.6, 0.8, 0.1, 0.5, 0.05, 0.3].
Iteration 212. Result MAP=0.043725  Configuration tried: [0.7, 1, 0.4, 0.7, 0.1, 0.7].
Iteration 213. Result MAP=0.044124  Configuration tried: [0.9, 0.7, 0.3, 1, 0.15, 0.5].
Iteration 214. Result MAP=0.044070  Configuration tried: [0.8, 0.5, 0.2, 0.6, 0.1, 0.7].
Iteration 215. Result MAP=0.044122  Configuration tried: [1, 0.6, 0.4, 1, 0.2, 0.3].
Iteration 216. Result MAP=0.042001  Configuration tried: [1, 0.5, 0.1, 0.5, 0.4, 0.7].
Iteration 217. Result MAP=0.043404  Configuration tried: [0.8, 0.8, 0.1, 0.5, 0.3, 0.4].
Iteration 218. Result MAP=0.042044  Configuration tried: [1, 0.5, 0.1, 0.5, 0.4, 0.5].
Iteration 219. Result MAP=0.043877  Configuration tried: [0.5, 0.8, 0.4, 0.5, 0.1, 0.6].
Iteration 220. Result MAP=0.044123  Configuration tried: [0.5, 0.7, 0.4, 1, 0.15, 0.4].
Iteration 221. Result MAP=0.043413  Configuration tried: [0.7, 0.9, 0.3, 0.7, 0.3, 0.7].
Iteration 222. Result MAP=0.043869  Configuration tried: [1, 1, 0.2, 0.8, 0.1, 0.3].
Iteration 223. Result MAP=0.041640  Configuration tried: [0.5, 0.6, 0.1, 0.5, 0.4, 0.4].
Iteration 224. Result MAP=0.043427  Configuration tried: [0.7, 0.8, 0.4, 0.6, 0.3, 0.5].
Iteration 225. Result MAP=0.043956  Configuration tried: [0.6, 0.9, 0.4, 1, 0.1, 0.6].
Iteration 226. Result MAP=0.043790  Configuration tried: [0.7, 1, 0.4, 0.8, 0.2, 0.4].
Iteration 227. Result MAP=0.043751  Configuration tried: [0.9, 0.8, 0.5, 0.6, 0.05, 0.5].
Iteration 228. Result MAP=0.043948  Configuration tried: [0.9, 0.7, 0.2, 0.5, 0.05, 0.7].
Iteration 229. Result MAP=0.044009  Configuration tried: [0.5, 0.5, 0.5, 0.8, 0.15, 0.5].
Iteration 230. Result MAP=0.042869  Configuration tried: [0.7, 0.6, 0.2, 0.5, 0.3, 0.7].
Iteration 231. Result MAP=0.043834  Configuration tried: [0.8, 0.9, 0.2, 0.5, 0.1, 0.6].
Iteration 232. Result MAP=0.044299  Configuration tried: [0.9, 0.5, 0.3, 0.8, 0.05, 0.7].


Found a better config at iteration 232, with MAP:0.044299
The new best config is: [0.9, 0.5, 0.3, 0.8, 0.05, 0.7]


Iteration 233. Result MAP=0.044109  Configuration tried: [0.9, 0.7, 0.4, 0.8, 0.15, 0.4].
Iteration 234. Result MAP=0.042239  Configuration tried: [0.9, 0.5, 0.4, 0.7, 0.4, 0.5].
Iteration 235. Result MAP=0.042212  Configuration tried: [0.5, 0.6, 0.1, 1, 0.4, 0.5].
Iteration 236. Result MAP=0.043587  Configuration tried: [0.5, 0.7, 0.3, 0.7, 0.05, 0.3].
Iteration 237. Result MAP=0.044154  Configuration tried: [0.9, 0.6, 0.1, 1, 0.15, 0.3].
Iteration 238. Result MAP=0.043872  Configuration tried: [0.9, 1, 0.3, 1, 0.1, 0.3].
Iteration 239. Result MAP=0.042370  Configuration tried: [0.8, 0.6, 0.5, 0.7, 0.4, 0.4].
Iteration 240. Result MAP=0.044110  Configuration tried: [0.8, 0.7, 0.3, 0.7, 0.15, 0.5].
Iteration 241. Result MAP=0.044326  Configuration tried: [1, 0.7, 0.3, 1, 0.1, 0.5].


Found a better config at iteration 241, with MAP:0.044326
The new best config is: [1, 0.7, 0.3, 1, 0.1, 0.5]


Iteration 242. Result MAP=0.043722  Configuration tried: [0.8, 0.6, 0.1, 0.9, 0.2, 0.3].
