Parameters tuning log for the hybrid recommender of predictions (second version). 
This are the recommenders that have been put inside: ['ItemKNNCFRecommender', 'SLIMElasticNetRecommender', 'ItemKNNCBFRecommender', 'RP3betaRecommender', 'UserKNNCFRecommender', 'SLIM_BPR_Recommender']


Iteration 0. Result MAP=0.043917  Configuration tried: [0.9, 0.8, 0.1, 0.8, 0.05, 0.5].


Found a better config at iteration 0, with MAP:0.043917
The new best config is: [0.9, 0.8, 0.1, 0.8, 0.05, 0.5]


Iteration 1. Result MAP=0.044255  Configuration tried: [0.9, 0.9, 0.4, 1, 0.15, 0.4].


Found a better config at iteration 1, with MAP:0.044255
The new best config is: [0.9, 0.9, 0.4, 1, 0.15, 0.4]


Iteration 2. Result MAP=0.042499  Configuration tried: [0.5, 0.5, 0.1, 0.7, 0.3, 0.6].
Iteration 3. Result MAP=0.043818  Configuration tried: [0.8, 0.8, 0.3, 0.8, 0.2, 0.7].
Iteration 4. Result MAP=0.044073  Configuration tried: [0.9, 0.6, 0.1, 0.6, 0.1, 0.5].
Iteration 5. Result MAP=0.043883  Configuration tried: [0.6, 1, 0.1, 0.7, 0.15, 0.4].
Iteration 6. Result MAP=0.043704  Configuration tried: [0.7, 0.7, 0.4, 0.6, 0.05, 0.3].
Iteration 7. Result MAP=0.043455  Configuration tried: [0.8, 0.9, 0.4, 0.6, 0.3, 0.5].
Iteration 8. Result MAP=0.042084  Configuration tried: [0.6, 0.7, 0.1, 0.5, 0.4, 0.4].
Iteration 9. Result MAP=0.043933  Configuration tried: [0.7, 0.7, 0.1, 0.6, 0.15, 0.5].
Iteration 10. Result MAP=0.043245  Configuration tried: [0.6, 1, 0.1, 0.7, 0.3, 0.3].
Iteration 11. Result MAP=0.043770  Configuration tried: [0.8, 0.8, 0.2, 0.8, 0.05, 0.5].
Iteration 12. Result MAP=0.042596  Configuration tried: [0.9, 0.6, 0.4, 0.8, 0.4, 0.6].
Iteration 13. Result MAP=0.043690  Configuration tried: [1, 0.9, 0.2, 0.5, 0.05, 0.7].
Iteration 14. Result MAP=0.044139  Configuration tried: [0.5, 0.6, 0.2, 0.9, 0.1, 0.4].
Iteration 15. Result MAP=0.043990  Configuration tried: [0.9, 1, 0.2, 1, 0.1, 0.5].
Iteration 16. Result MAP=0.043855  Configuration tried: [0.6, 0.7, 0.5, 0.9, 0.2, 0.5].
Iteration 17. Result MAP=0.044112  Configuration tried: [0.6, 0.6, 0.3, 0.8, 0.1, 0.5].
Iteration 18. Result MAP=0.044208  Configuration tried: [0.7, 0.7, 0.5, 1, 0.15, 0.6].
Iteration 19. Result MAP=0.043124  Configuration tried: [0.9, 0.9, 0.1, 0.9, 0.4, 0.5].
Iteration 20. Result MAP=0.043433  Configuration tried: [0.7, 0.8, 0.4, 0.7, 0.3, 0.7].
Iteration 21. Result MAP=0.042978  Configuration tried: [0.9, 0.9, 0.3, 0.5, 0.4, 0.6].
Iteration 22. Result MAP=0.043518  Configuration tried: [0.9, 1, 0.1, 0.8, 0.05, 0.7].
Iteration 23. Result MAP=0.043967  Configuration tried: [0.9, 0.8, 0.1, 0.9, 0.15, 0.5].
